E(0),age,"q(x,n)",q45_15
59,65,0.17787667,0.267784594
59,70,0.26046289,0.267784594
59,75,0.36822874,0.267784594
59,80,0.49736322,0.267784594
59,85,0.63624699,0.267784594
59,90,0.76006574,0.267784594
59,95,0.8575215,0.267784594
59,100,1,0.267784594
60,0,0.07306943,0.255698746
60,1,0.03766275,0.255698746
60,5,0.01118248,0.255698746
60,10,0.00676933,0.255698746
60,15,0.01015734,0.255698746
60,20,0.01391601,0.255698746
60,25,0.01669243,0.255698746
60,30,0.02009991,0.255698746
60,35,0.02433673,0.255698746
60,40,0.0299531,0.255698746
60,45,0.03925109,0.255698746
60,50,0.05477203,0.255698746
60,55,0.07921392,0.255698746
60,60,0.11641588,0.255698746
60,65,0.17310826,0.255698746
60,70,0.25461012,0.255698746
60,75,0.36127666,0.255698746
60,80,0.49106316,0.255698746
60,85,0.63081144,0.255698746
60,90,0.75632093,0.255698746
60,95,0.85555717,0.255698746
60,100,1,0.255698746
61,0,0.06981023,0.24373811
61,1,0.0347265,0.24373811
61,5,0.0102812,0.24373811
61,10,0.00623434,0.24373811
61,15,0.00932186,0.24373811
61,20,0.0127653,0.24373811
61,25,0.01539031,0.24373811
61,30,0.01862254,0.24373811
61,35,0.02273852,0.24373811
61,40,0.02827284,0.24373811
61,45,0.03735211,0.24373811
61,50,0.05242538,0.24373811
61,55,0.07618902,0.24373811
61,60,0.11252956,0.24373811
61,65,0.16827602,0.24373811
61,70,0.24862894,0.24373811
61,75,0.35411089,0.24373811
61,80,0.48451253,0.24373811
61,85,0.62510227,0.24373811
61,90,0.75235364,0.24373811
61,95,0.85345751,0.24373811
61,100,1,0.24373811
62,0,0.06658196,0.23187901
62,1,0.03191694,0.23187901
62,5,0.00942259,0.23187901
62,10,0.00572391,0.23187901
62,15,0.00852749,0.23187901
62,20,0.01167157,0.23187901
62,25,0.01414611,0.23187901
62,30,0.01720373,0.23187901
62,35,0.02119034,0.23187901
62,40,0.02662811,0.23187901
62,45,0.03547759,0.23187901
62,50,0.05009468,0.23187901
62,55,0.07316863,0.23187901
62,60,0.10862709,0.23187901
62,65,0.16339209,0.23187901
62,70,0.24254898,0.23187901
62,75,0.34678541,0.23187901
62,80,0.47776153,0.23187901
62,85,0.61918054,0.23187901
62,90,0.74821429,0.23187901
62,95,0.85125535,0.23187901
62,100,1,0.23187901
63,0,0.06337995,0.220154122
63,1,0.02923705,0.220154122
63,5,0.00860752,0.220154122
63,10,0.00523834,0.220154122
63,15,0.00777561,0.220154122
63,20,0.01063559,0.220154122
63,25,0.01296048,0.220154122
63,30,0.01584522,0.220154122
63,35,0.01969554,0.220154122
63,40,0.02502063,0.220154122
63,45,0.03362898,0.220154122
63,50,0.04778241,0.220154122
63,55,0.07015355,0.220154122
63,60,0.10470493,0.220154122
63,65,0.15844481,0.220154122
63,70,0.23634524,0.220154122
63,75,0.33925099,0.220154122
63,80,0.47075448,0.220154122
63,85,0.61297615,0.220154122
63,90,0.74384084,0.220154122
63,95,0.84890976,0.220154122
63,100,1,0.220154122
64,0,0.06020546,0.208545078
64,1,0.02668615,0.208545078
64,5,0.00783528,0.208545078
64,10,0.00477729,0.208545078
64,15,0.00706527,0.208545078
64,20,0.00965633,0.208545078
64,25,0.01183283,0.208545078
64,30,0.0145466,0.208545078
64,35,0.01825413,0.208545078
64,40,0.02345108,0.208545078
64,45,0.03180711,0.208545078
64,50,0.0454893,0.208545078
64,55,0.06714451,0.208545078
64,60,0.10076337,0.208545078
64,65,0.15343293,0.208545078
64,70,0.23001375,0.208545078
64,75,0.33149932,0.208545078
64,80,0.46347669,0.208545078
64,85,0.60646988,0.208545078
64,90,0.73921485,0.208545078
64,95,0.84640812,0.208545078
64,100,1,0.208545078
65,0,0.05706406,0.197084304
65,1,0.02426032,0.197084304
65,5,0.00710384,0.197084304
65,10,0.00433985,0.197084304
65,15,0.00639377,0.197084304
65,20,0.00873123,0.197084304
65,25,0.0107614,0.197084304
65,30,0.01330566,0.197084304
65,35,0.01686317,0.197084304
65,40,0.02191892,0.197084304
65,45,0.03001183,0.197084304
65,50,0.04321404,0.197084304
65,55,0.06414136,0.197084304
65,60,0.0968052,0.197084304
65,65,0.14836379,0.197084304
65,70,0.22356961,0.197084304
65,75,0.32356156,0.197084304
65,80,0.45595491,0.197084304
65,85,0.5996964,0.197084304
65,90,0.73436592,0.197084304
65,95,0.84377012,0.197084304
65,100,1,0.197084304
66,0,0.0539533,0.185788232
66,1,0.02196453,0.185788232
66,5,0.00641531,0.185788232
66,10,0.0039284,0.185788232
66,15,0.00576135,0.185788232
66,20,0.0078626,0.185788232
66,25,0.00974977,0.185788232
66,30,0.0121247,0.185788232
66,35,0.01552501,0.185788232
66,40,0.02042908,0.185788232
66,45,0.0282485,0.185788232
66,50,0.04096058,0.185788232
66,55,0.06114581,0.185788232
66,60,0.09282697,0.185788232
66,65,0.14322175,0.185788232
66,70,0.21696735,0.185788232
66,75,0.31534862,0.185788232
66,80,0.44807974,0.185788232
66,85,0.5925131,0.185788232
66,90,0.72916493,0.185788232
66,95,0.84090813,0.185788232
66,100,1,0.185788232
67,0,0.05087905,0.174644678
67,1,0.0197932,0.174644678
67,5,0.00576653,0.174644678
67,10,0.00353988,0.174644678
67,15,0.00516678,0.174644678
67,20,0.00704648,0.174644678
67,25,0.00879332,0.174644678
67,30,0.01100137,0.174644678
67,35,0.01423858,0.174644678
67,40,0.01897866,0.174644678
67,45,0.02651423,0.174644678
67,50,0.03872771,0.174644678
67,55,0.05815888,0.174644678
67,60,0.08883377,0.174644678
67,65,0.13802029,0.174644678
67,70,0.21024335,0.174644678
67,75,0.30692937,0.174644678
67,80,0.43992331,0.174644678
67,85,0.58501229,0.174644678
67,90,0.72369174,0.174644678
67,95,0.83787546,0.174644678
67,100,1,0.174644678
68,0,0.04784292,0.163671062
68,1,0.01775376,0.163671062
68,5,0.00515848,0.163671062
68,10,0.00317474,0.163671062
68,15,0.00461122,0.163671062
68,20,0.00628403,0.163671062
68,25,0.00789392,0.163671062
68,30,0.00993839,0.163671062
68,35,0.01300712,0.163671062
68,40,0.01757008,0.163671062
68,45,0.02481031,0.163671062
68,50,0.03651523,0.163671062
68,55,0.05517716,0.163671062
68,60,0.08481577,0.163671062
68,65,0.13273972,0.163671062
68,70,0.20336677,0.163671062
68,75,0.29825883,0.163671062
68,80,0.43140871,0.163671062
68,85,0.57709919,0.163671062
68,90,0.71785075,0.163671062
68,95,0.83459817,0.163671062
68,100,1,0.163671062
69,0,0.0448485,0.152907133
69,1,0.01584733,0.152907133
69,5,0.00459108,0.152907133
69,10,0.00283297,0.152907133
69,15,0.0040945,0.152907133
69,20,0.00557498,0.152907133
69,25,0.00705179,0.152907133
69,30,0.00893658,0.152907133
69,35,0.01183227,0.152907133
69,40,0.01620554,0.152907133
69,45,0.02313914,0.152907133
69,50,0.03432557,0.152907133
69,55,0.05220255,0.152907133
69,60,0.08077301,0.152907133
69,65,0.1273757,0.152907133
69,70,0.19632705,0.152907133
69,75,0.28931742,0.152907133
69,80,0.42249522,0.152907133
69,85,0.56871827,0.152907133
69,90,0.71158293,0.152907133
69,95,0.83102969,0.152907133
69,100,1,0.152907133
70,0,0.04189994,0.142344128
70,1,0.01406208,0.142344128
70,5,0.0040618,0.142344128
70,10,0.00251335,0.142344128
70,15,0.00361368,0.142344128
70,20,0.00491571,0.142344128
70,25,0.00626317,0.142344128
70,30,0.00799202,0.142344128
70,35,0.01071124,0.142344128
70,40,0.01488481,0.142344128
70,45,0.02150285,0.142344128
70,50,0.03216363,0.142344128
70,55,0.049245,0.142344128
70,60,0.07672371,0.142344128
70,65,0.12195624,0.142344128
70,70,0.18916107,0.142344128
70,75,0.28015108,0.142344128
70,80,0.41324869,0.142344128
70,85,0.55994348,0.142344128
70,90,0.70496097,0.142344128
70,95,0.82722881,0.142344128
70,100,1,0.142344128
71,0,0.03902218,0.132065672
71,1,0.01248353,0.132065672
71,5,0.00359299,0.132065672
71,10,0.00222714,0.132065672
71,15,0.00318731,0.132065672
71,20,0.00433254,0.132065672
71,25,0.00555741,0.132065672
71,30,0.00713752,0.132065672
71,35,0.00967517,0.132065672
71,40,0.01362839,0.132065672
71,45,0.01990445,0.132065672
71,50,0.0300065,0.132065672
71,55,0.0462401,0.132065672
71,60,0.0725204,0.132065672
71,65,0.11623276,0.132065672
71,70,0.18151595,0.132065672
71,75,0.27034694,0.132065672
71,80,0.40290992,0.132065672
71,85,0.54988962,0.132065672
71,90,0.69703853,0.132065672
71,95,0.82238679,0.132065672
71,100,1,0.132065672
72,0,0.03621037,0.122042013
72,1,0.01102544,0.122042013
72,5,0.00316148,0.122042013
72,10,0.00196295,0.122042013
72,15,0.00279585,0.122042013
72,20,0.00379759,0.122042013
72,25,0.00490509,0.122042013
72,30,0.00634198,0.122042013
72,35,0.00869796,0.122042013
72,40,0.01242425,0.122042013
72,45,0.01835186,0.122042013
72,50,0.02789008,0.122042013
72,55,0.04326663,0.122042013
72,60,0.0683221,0.122042013
72,65,0.11045544,0.122042013
72,70,0.17373118,0.122042013
72,75,0.26028959,0.122042013
72,80,0.39211917,0.122042013
72,85,0.5392618,0.122042013
72,90,0.6885357,0.122042013
72,95,0.81709994,0.122042013
72,100,1,0.122042013
73,0,0.03350119,0.112420757
73,1,0.00975221,0.112420757
73,5,0.0027849,0.112420757
73,10,0.00173093,0.112420757
73,15,0.00245426,0.112420757
73,20,0.00333159,0.112420757
73,25,0.00433051,0.112420757
73,30,0.00563328,0.112420757
73,35,0.00780825,0.112420757
73,40,0.01129584,0.112420757
73,45,0.01685767,0.112420757
73,50,0.02580998,0.112420757
73,55,0.040288,0.112420757
73,60,0.06402527,0.112420757
73,65,0.10443119,0.112420757
73,70,0.16550869,0.112420757
73,75,0.2495988,0.112420757
73,80,0.38017359,0.112420757
73,85,0.52719704,0.112420757
73,90,0.67850193,0.112420757
73,95,0.81053235,0.112420757
73,100,1,0.112420757
74,0,0.03094517,0.103317446
74,1,0.0087154,0.103317446
74,5,0.00247697,0.103317446
74,10,0.00153899,0.103317446
74,15,0.00217398,0.103317446
74,20,0.00295032,0.103317446
74,25,0.00385306,0.103317446
74,30,0.00503488,0.103317446
74,35,0.00703266,0.103317446
74,40,0.01026903,0.103317446
74,45,0.01544254,0.103317446
74,50,0.02377709,0.103317446
74,55,0.03729395,0.103317446
74,60,0.05956863,0.103317446
74,65,0.0980243,0.103317446
74,70,0.15662174,0.103317446
74,75,0.23797711,0.103317446
74,80,0.36641646,0.103317446
74,85,0.51282523,0.103317446
74,90,0.6658999,0.103317446
74,95,0.80170265,0.103317446
74,100,1,0.103317446
75,0,0.02848339,0.094580245
75,1,0.00775071,0.094580245
75,5,0.00219198,0.094580245
75,10,0.00136144,0.094580245
75,15,0.00191569,0.094580245
75,20,0.00259903,0.094580245
75,25,0.003411,0.094580245
75,30,0.00447826,0.094580245
75,35,0.00630548,0.094580245
75,40,0.009297,0.094580245
75,45,0.01409219,0.094580245
75,50,0.02182551,0.094580245
75,55,0.03440415,0.094580245
75,60,0.05524156,0.094580245
75,65,0.09174009,0.094580245
75,70,0.14781739,0.094580245
75,75,0.22634616,0.094580245
75,80,0.35244341,0.094580245
75,85,0.49801647,0.094580245
75,90,0.65271016,0.094580245
75,95,0.7922956,0.094580245
75,100,1,0.094580245
76,0,0.02619549,0.08646714
76,1,0.00696567,0.08646714
76,5,0.00196086,0.08646714
76,10,0.00121616,0.08646714
76,15,0.00170533,0.08646714
76,20,0.00231333,0.08646714
76,25,0.00304599,0.08646714
76,30,0.00401156,0.08646714
76,35,0.00567826,0.08646714
76,40,0.00842625,0.08646714
76,45,0.01284029,0.08646714
76,50,0.01996636,0.08646714
76,55,0.03158392,0.08646714
76,60,0.05090542,0.08646714
76,65,0.08529115,0.08646714
76,70,0.13861055,0.08646714
76,75,0.21402763,0.08646714
76,80,0.3369771,0.08646714
76,85,0.48108964,0.08646714
76,90,0.63699077,0.08646714
76,95,0.78051139,0.08646714
76,100,1,0.08646714
77,0,0.02402647,0.078790636
77,1,0.00625402,0.078790636
77,5,0.00175231,0.078790636
77,10,0.001085,0.078790636
77,15,0.00151611,0.078790636
77,20,0.00205644,0.078790636
77,25,0.00271591,0.078790636
77,30,0.00358722,0.078790636
77,35,0.0051024,0.078790636
77,40,0.00761682,0.078790636
77,45,0.01166397,0.078790636
77,50,0.01820475,0.078790636
77,55,0.02889152,0.078790636
77,60,0.0467312,0.078790636
77,65,0.07900443,0.078790636
77,70,0.12952669,0.078790636
77,75,0.20173367,0.078790636
77,80,0.32122227,0.078790636
77,85,0.46351455,0.078790636
77,90,0.6202995,0.078790636
77,95,0.76766234,0.078790636
77,100,1,0.078790636
78,0,0.0220044,0.071659794
78,1,0.00564073,0.071659794
78,5,0.00157359,0.071659794
78,10,0.00097223,0.071659794
78,15,0.0013539,0.071659794
78,20,0.00183632,0.071659794
78,25,0.00243037,0.071659794
78,30,0.00321662,0.071659794
78,35,0.00459094,0.071659794
78,40,0.00688209,0.071659794
78,45,0.01057566,0.071659794
78,50,0.0165505,0.071659794
78,55,0.02632971,0.071659794
78,60,0.04270248,0.071659794
78,65,0.07283421,0.071659794
78,70,0.12047455,0.071659794
78,75,0.18931904,0.071659794
78,80,0.30486687,0.071659794
78,85,0.44482006,0.071659794
78,90,0.60202272,0.071659794
78,95,0.75310511,0.071659794
78,100,1,0.071659794
79,0,0.02015177,0.065127087
79,1,0.00513872,0.065127087
79,5,0.00142814,0.065127087
79,10,0.00087977,0.065127087
79,15,0.00122128,0.065127087
79,20,0.00165647,0.065127087
79,25,0.00219376,0.065127087
79,30,0.00290526,0.065127087
79,35,0.00415078,0.065127087
79,40,0.00623023,0.065127087
79,45,0.00958471,0.065127087
79,50,0.01501428,0.065127087
79,55,0.02390993,0.065127087
79,60,0.0388283,0.065127087
79,65,0.06678463,0.065127087
79,70,0.11144608,0.065127087
79,75,0.17675792,0.065127087
79,80,0.28777642,0.065127087
79,85,0.424737,0.065127087
79,90,0.58172283,0.065127087
79,95,0.73629136,0.065127087
79,100,1,0.065127087
80,0,0.01840222,0.059006339
80,1,0.0046676,0.059006339
80,5,0.00129219,0.059006339
80,10,0.00079363,0.059006339
80,15,0.00109809,0.059006339
80,20,0.00148941,0.059006339
80,25,0.00197382,0.059006339
80,30,0.00261565,0.059006339
80,35,0.00374092,0.059006339
80,40,0.00562241,0.059006339
80,45,0.00865952,0.059006339
80,50,0.01357824,0.059006339
80,55,0.02164475,0.059006339
80,60,0.0351944,0.059006339
80,65,0.06105526,0.059006339
80,70,0.10280363,0.059006339
80,75,0.16459042,0.059006339
80,80,0.27096078,0.059006339
80,85,0.40461913,0.059006339
80,90,0.56095584,0.059006339
80,95,0.71864375,0.059006339
80,100,1,0.059006339
