Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
EritreaRural,0,0,0,0,0,3.75E-08,1.03E-07,3.49E-07,1.07E-06,3.02E-06,7.92E-06,1.95E-05,4.39E-05,9.01E-05,0.000173204,0.000306552,0.000512209,0.000799998,0.001166312,0.001580984,0.002003865,0.002398762,0.002674685,0.00283077,0.002850392,0.002698083,0.002398171,0.002029932,0.001628941,0.001258605,0.000923865,0.000641528,0.000419368,0.000266245,0.00016807,0.000113137,9.40E-05,9.09E-05,9.60E-05,0.000105154,0.000100249,8.37E-05,6.25E-05,4.69E-05,3.50E-05,2.68E-05
EthiopiaUrban,0,0,0,0,0,6.52E-05,8.59E-05,0.000173963,0.000329011,0.000592036,0.000997522,0.001605668,0.002436256,0.003531666,0.004890064,0.006521709,0.008416403,0.010495414,0.01273457,0.015087025,0.017408143,0.019722837,0.021775109,0.023537469,0.024703596,0.025209284,0.024809811,0.023486935,0.021321205,0.018473238,0.015255552,0.011945774,0.008881913,0.006250837,0.004219626,0.002819456,0.00199185,0.001595741,0.001473857,0.001475371,0.001356172,0.001122881,0.000900935,0.000717551,0.000549137,0.000403407
EthiopiaRural,0,0,0,0,0,1.11E-06,1.29E-06,2.70E-06,5.44E-06,1.10E-05,2.14E-05,4.10E-05,7.59E-05,0.000135609,0.00023312,0.000387981,0.000620765,0.000942961,0.001389627,0.001970181,0.002673884,0.003492013,0.004378287,0.005265706,0.006076951,0.006724782,0.007100341,0.007114742,0.006774641,0.006153828,0.005306716,0.004335315,0.003368991,0.002499137,0.001804719,0.001301331,0.000983828,0.000818079,0.000750845,0.000749463,0.000696288,0.000594803,0.000499625,0.000420491,0.000348379,0.000283041
GabonUrban,0,0,0,0,0,6.97E-06,5.82E-06,1.03E-05,1.80E-05,3.13E-05,5.35E-05,8.97E-05,0.000149602,0.000242179,0.000386145,0.000607597,0.000934208,0.001404066,0.002045254,0.002907675,0.003996666,0.005331499,0.006852697,0.008527136,0.010232498,0.011813259,0.013030969,0.013800189,0.014048916,0.013714496,0.012888798,0.011649366,0.010203624,0.008688298,0.007301116,0.006051161,0.005118306,0.004639335,0.00435987,0.004179653,0.003878926,0.003558949,0.003196284,0.002852957,0.002537978,0.002244955
GabonRural,0,0,0,0,0,0.00017271,0.000138498,0.000216159,0.000320642,0.000459918,0.000629888,0.000842422,0.001086637,0.001364452,0.001671632,0.002018636,0.00239677,0.002781359,0.003171829,0.003577029,0.004009069,0.004442937,0.0048705,0.005299822,0.005735087,0.006169455,0.006622036,0.007021579,0.007415922,0.00777037,0.008080292,0.008467787,0.008792429,0.009039902,0.009243489,0.009272665,0.009280063,0.009368946,0.009366893,0.009248052,0.009181833,0.009299888,0.009265773,0.009279694,0.00929053,0.009294867
GambiaUrban,0,0,0,0,0,2.09E-05,2.30E-05,4.38E-05,7.49E-05,0.000121105,0.000186362,0.000260144,0.000335481,0.000408671,0.000482965,0.000541995,0.000592625,0.000625425,0.000658062,0.000698777,0.0007485,0.000802668,0.000868533,0.000949253,0.001048123,0.00117395,0.001314916,0.00149038,0.001708281,0.001959257,0.002240938,0.002541446,0.002875514,0.003202898,0.003494495,0.003670063,0.003662237,0.003497883,0.003141632,0.002935952,0.002985022,0.002933004,0.002939655,0.002923475,0.002925877,0.002917267
GambiaRural,0,0,0,0,0,7.51E-11,1.60E-10,4.75E-10,1.36E-09,3.89E-09,1.11E-08,3.14E-08,8.87E-08,2.44E-07,6.60E-07,1.76E-06,4.52E-06,1.10E-05,2.55E-05,5.60E-05,0.000114966,0.00022148,0.000399194,0.000670468,0.001041098,0.001485715,0.001987968,0.002480341,0.002887668,0.003174895,0.003279973,0.00323202,0.00302607,0.00272487,0.002386467,0.002094546,0.001835184,0.0017272,0.001674471,0.001608671,0.001531658,0.00138889,0.001268337,0.001161998,0.001066058,0.000977122
GhanaUrban,0,0,0,0,0,0.000167519,0.000129076,0.000204961,0.000313189,0.000458761,0.000648582,0.00088489,0.001159682,0.001472128,0.001806893,0.002167172,0.002555187,0.00291947,0.003279051,0.003624462,0.003947153,0.004243155,0.004505827,0.004728993,0.004914418,0.005055499,0.005151887,0.005199896,0.005202441,0.005147612,0.005047381,0.004897582,0.004697078,0.00446108,0.004183568,0.003858819,0.00351091,0.003144062,0.002766713,0.00239251,0.002088749,0.001867883,0.001682176,0.001519366,0.001359989,0.001218651
GhanaRural,0,0,0,0,0,9.54E-06,1.36E-05,2.89E-05,5.66E-05,0.000104811,0.000183755,0.000301358,0.000470985,0.000702782,0.001004362,0.001382176,0.00182444,0.002325832,0.002876731,0.003445237,0.00402463,0.004587656,0.005086586,0.005492899,0.005802396,0.005962364,0.005958317,0.005784468,0.005473575,0.005034655,0.004512415,0.003942136,0.00336928,0.002839431,0.002374318,0.001988563,0.001688624,0.00147217,0.001306962,0.001186954,0.001097451,0.000985498,0.000848315,0.000722552,0.000610104,0.000507684
GuineaEcuatorialUrban,0,0,0,0,0,3.86E-07,2.37E-07,3.77E-07,6.11E-07,9.78E-07,1.57E-06,2.55E-06,4.12E-06,6.75E-06,1.09E-05,1.76E-05,2.95E-05,4.93E-05,8.32E-05,0.000141305,0.000237783,0.000396417,0.000661149,0.001079182,0.001716363,0.002672945,0.003929342,0.005626943,0.007648655,0.009895526,0.012018491,0.013701187,0.014703465,0.014811476,0.014101025,0.012658264,0.010782025,0.008671122,0.00669233,0.005798206,0.005467457,0.005132901,0.004816444,0.004505724,0.004172397,0.003904521
